date,spx_ret,gold_ret,fx_ret,spx_vol_21,gold_vol_21,fx_vol_21,yc_10_2,yc_10_5,infl_chg,unemp_chg,spx_vol_infl,spx_vol_unemp,spx_vol_infl_event,spx_vol_unemp_event,spx_mom_21,gold_mom_21,fx_mom_21,spx_ma_ratio,yc_inversion,high_vol,infl_event_5d,unemp_event_5d
2017-03-15,0.6657756219808667,-0.20738076758123083,-0.42536738443417466,-0.7742449072618176,-0.8193291873242442,-0.38190709543018453,1.5841564756873237,1.1329145758532495,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,0.2851390643548962,-0.8274370859214364,0.13111964026472303,0.43426762395421986,0.0,0.0,0.0,0.0
2017-03-16,-0.17796636688422265,2.062555817775184,-2.010338758960153,-0.7757994473397842,-0.37159147225276984,-0.06945019886215432,1.5841564756873237,1.0907665317986932,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,0.16142893729118651,-0.2894338365198102,-0.236099344345743,0.36264681525110243,0.0,0.0,0.0,0.0
2017-03-17,-0.15148446171294608,0.20113653699049178,-0.12194491644679954,-0.7873042062783944,-0.39829609587901954,-0.14402772475166364,1.5661679357000846,1.0486184877441367,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,0.02386264191470558,-0.3792243505159189,-0.4652078051245997,0.30319669580349723,0.0,0.0,0.0,0.0
2017-03-20,-0.21046030274269487,0.2399895139029684,-1.0856474255740327,-0.7834721236447678,-0.42845524665037327,-0.07521328185537232,1.566167935700085,1.0486184877441367,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.0011188816742530067,-0.4678386248696287,-0.632522395851878,0.22617846829097377,0.0,0.0,0.0,0.0
2017-03-21,-1.097013136567342,0.9228528646048825,-0.1850196786523739,-0.6624540372060641,-0.349922624524273,-0.18511272637977685,1.5481793957128456,1.0486184877441367,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.3071187634482524,-0.17327176230928998,-0.3875246553968152,-0.11665790114448187,0.0,0.0,0.0,0.0
2017-03-22,0.11965989611957699,0.18920734807562725,-1.697950109875052,-0.6873434998543951,-0.3463437439093827,0.0038499490435396923,1.4942137757511267,0.9643223996350209,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.39578930309535876,-0.1079581176593665,-0.7453908441198897,-0.08523519633324284,0.0,0.0,0.0,0.0
2017-03-23,-0.12995504783306178,-0.24877618676581784,-0.28697621873450263,-0.6873668091967757,-0.3612436033562303,-0.039161200213851846,1.530190855725606,1.0064704436895793,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.39532025804873405,-0.04530079892009285,-0.9370174001677235,-0.1301718718375185,0.0,0.0,0.0,0.0
2017-03-24,-0.11163093219213963,0.040588676514226,-0.6150927731122293,-0.6876577141020808,-0.5344994985861469,-0.030191844200381398,1.5122023157383662,1.0486184877441358,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.42229274887085166,-0.3806259932289072,-0.9785609781076837,-0.16751112634433102,0.0,0.0,0.0,0.0
2017-03-27,-0.12650788520146422,0.5002469115373307,-0.7588196816241394,-0.6902092094630602,-0.530493315758529,-0.08102148520461074,1.4582366957766475,0.9643223996350209,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.47583455965473853,-0.37067608263487617,-0.8839012304906367,-0.20990978796309331,0.0,0.0,0.0,0.0
2017-03-28,0.5714319343579504,-0.06887723365343489,0.3333551437998652,-0.6505483822266194,-0.5306833456441682,-0.09513687343778261,1.4762252357638872,0.9643223996350209,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.34329199380950154,-0.3823486496839417,-0.633677881062319,-0.040325259566019546,0.0,0.0,0.0,0.0
2017-03-29,0.05165828867554473,-0.20893805506259255,0.7154999695322354,-0.653656257371885,-0.5414195296423899,-0.11692607456007513,1.494213775751127,1.0064704436895793,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.264623074105986,-0.3258125974377937,-0.6672825628022673,-0.03284566827024874,0.0,0.0,0.0,0.0
2017-03-30,0.2079207481542617,-0.717373945956839,-0.14008066957472393,-0.7929158386166403,-0.5099624700370176,-0.15070496698725627,1.5122023157383662,1.0064704436895784,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.4923474484573965,-0.41792050985261625,-0.8082382958973873,0.02234585685676494,0.0,0.0,0.0,0.0
2017-03-31,-0.23125590009803615,0.119030507926327,0.9824768108010912,-0.8153517489774607,-0.6841485751130258,-0.3069543138381097,1.4942137757511267,1.0486184877441358,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,-0.43306565032842453,-0.3543021757001148,-0.4152275613443937,-0.035337987521030824,-0.9495532870036384,-0.05891249386404803,0.0,0.0,0.0,0.0
2017-04-03,-0.17927334101427525,0.2123719609754335,-0.8492940853650186,-0.8148494334088993,-0.7149976857972643,-0.30062471686605907,1.458236695776648,1.0486184877441367,1.3099575549075992,0.00019022281163046188,0.2941163116942176,-0.016630936448692044,0.35592203525804483,-0.3543021757001148,-0.4610114085933457,0.16407663256511462,-1.2033673058748409,-0.12133527485345234,0.0,0.0,1.0,0.0
2017-04-04,0.007187916934706526,0.2660551640226322,-0.9263445387147485,-0.8213890998193575,-0.71340152567349,-0.2885040845805663,1.4582366957766475,1.0907665317986932,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,0.34757527353403184,-0.3543021757001148,-0.3790217859163843,0.2684764381867807,-1.229409817736297,-0.12789178509571014,0.0,0.0,1.0,0.0
2017-04-05,-0.2991369913679843,-0.8105235440473127,0.21255671303357776,-0.8207152304364705,-0.713877690046728,-0.2800470927074815,1.440248155789408,1.1329145758532495,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,0.3484353521403458,-0.3543021757001148,-0.38205582916512304,0.26916536386988077,-1.2024697697843285,-0.22366889677603438,0.0,0.0,1.0,0.0
2017-04-06,0.1230074211109934,0.3221329781058864,-0.7941122830743286,-0.8204800809321798,-0.7539396740016336,-0.2638926725244463,1.440248155789408,1.048618487744135,-0.15524678141254566,0.00019022281163046188,-0.07365784309912878,-0.016630936448692044,0.3487354801222098,-0.3543021757001148,-0.2917669068340424,0.5055181951643626,-1.3711715664443684,-0.18667766786704015,0.0,0.0,1.0,0.0
